name;address;town;insee_code;postal_code;postal_code;type;longitude;latitude
"L'Aubinière Janzé Nord";"Rue Jean-Marie Lacire";JANZÉ;35136;;35150;"Aire de covoiturage";-1.48840769717552
"Champs-Blancs Janzé Est";"sortie D41 Rd point D777";JANZÉ;35136;;35150;"Aire de covoiturage";-1.48775895020323
"Rue de L'écusson";"17 Rue des Saulniers. 56120 Josselin";JOSSELIN;56091;56120;56120;"Aire de covoiturage";-2.553786
"Aire de covoiturage Saint-Igneuc";"RD 66 - RN 176 (Delaisse RD16";JUGON-LES-LACS;22084;;22270;"Aire de covoiturage";-2.345367377
"Aire de covoiturage Le Val Joli";"RD 792 proche RN 176";JUGON-LES-LACS;22084;;22270;"Aire de covoiturage";-2.315409162
"Aire de covoiturage Loch Ar Lann";"D764. 29270 Kergloff";KERGLOFF;29089;29270;29270;"Aire de covoiturage";-3.612962056
"Aire de covoiturage de Ty Richard";"11 Kerfort. 56540 Kernascléden";KERNASCLEDEN;56264;56540;56540;"Aire de covoiturage";-3.340713
"Aire de covoiturage de Kergo-Kernous";"Kernours. 56700 Kervignac";KERVIGNAC;56094;56700;56700;"Aire de covoiturage";-3.286759
"Aire de covoiturage de Le Porzo";"Rohabon. 56700 Kervignac";KERVIGNAC;56094;56700;56700;"Aire de covoiturage";-3.238014
"Place de l'Église";"21 rue de Lesquen";"LA BAZOUGE-DU-DÉSERT";35018;;35420;"Aire de covoiturage";-1.10586745516611
"Centre maison neuve";"Rue Saint-Martin";"LA BOUËXIÈRE";35031;;35340;"Aire de covoiturage";-1.4394966671136
"Centre maison neuve";"Rue Saint-Martin";"LA BOUËXIÈRE";35031;;35340;"Aire de covoiturage";-1.4394966671136
"La Grenouillette";"La Grenouillette";"LA CHAPELLE ERBRÉE";35061;;35500;"Aire de covoiturage";-1.0916371179694
"Siège CC Bretagne Romantique";"Rue des Etangs";"LA CHAPELLE-AUX-FILTZMEENS";35056;;35190;"Aire de covoiturage";-1.82882020296592
"Parking salle de sport";"Rue de Rennes";"LA CHAPELLE-DES-FOUGERETZ";35059;;35520;"Aire de covoiturage";-1.72646737711183
"La Fossardais";"La Fossardais";"LA DOMINELAIS";35098;;35390;"Aire de covoiturage";-1.69851723527387
"Aire de covoiturage Croaz An Herry";"D764. 29690 La Feuillée";"LA FEUILLEE";29054;29690;29690;"Aire de covoiturage";-3.845220409
"Rue des Frênes";"Rue des Frênes";"LA FRESNAIE";35116;;35111;"Aire de covoiturage";-1.8449654827428
"Les Grands Champs";"Les Grands Champs";"LA GUERCHE-DE-BRETAGNE";35125;;35130;"Aire de covoiturage";-1.25017072657155
"Aire de covoiturage Bel Air";"échangeur de Bel Air RD 700-";"LA MOTTE";22155;;22600;"Aire de covoiturage";-2.755123526
"Aire de covoiturage de La Roche-Jaudy";"Rue des Ajoncs";"LA ROCHE-JAUDY";22264;;22450;"Aire de covoiturage";-3.250262
"Parking Rue du Pont Sec";"Rue du pont sec (D17)";LA-SELLE-EN-COGLÈS;35323;01400;35460;Parking;-1.341634042
"Aire de covoiturage de Porhoet";"12 Rue du Point du Jour. 56490 La Trinité-Porhoét";"LA TRINITE PORHOET";56257;56490;56490;"Aire de covoiturage";-2.535549
"Aire de covoiturage de Croix";"32 Rue de la Gare. 56250 La truee-Croix";"LA TRUEE-CROIX";56261;56250;56250;"Aire de covoiturage";-2.540475
"La Massonnais";"Rond point D706 et D806";LAIGNELET;35138;;35133;"Aire de covoiturage";-1.17051590990296
"La lande de villiers";"Bout de lande";LAILLÉ;35139;;35890;"Aire de covoiturage";-1.69692557108055
"Rue de la halte/Landret";"Rue de la Halte";LAILLÉ;35139;;35890;"Aire de covoiturage";-1.73242788473385
