name,address,gps_lat,gps_lng,town_name,type
"Rue de L'écusson","17 Rue des Saulniers. 56120 Josselin",47.958677,-2.553786,Josselin,"Aire de covoiturage"
"Aire de covoiturage Saint-Igneuc","RD 66 - RN 176 (Delaisse RD16",48.40983213,-2.345367377,Jugon-Les-Lacs,"Aire de covoiturage"
"Aire de covoiturage Le Val Joli","RD 792 proche RN 176",48.41524825,-2.315409162,Jugon-Les-Lacs,"Aire de covoiturage"
"Aire de covoiturage Loch Ar Lann","D764. 29270 Kergloff",48.2874739,-3.612962056,Kergloff,"Aire de covoiturage"
"Aire de covoiturage de Ty Richard","11 Kerfort. 56540 Kernascléden",48.007182,-3.340713,Kernascleden,"Aire de covoiturage"
"Aire de covoiturage de Kergo-Kernous","Kernours. 56700 Kervignac",47.759906,-3.286759,Kervignac,"Aire de covoiturage"
"Aire de covoiturage de Le Porzo","Rohabon. 56700 Kervignac",47.79493,-3.238014,Kervignac,"Aire de covoiturage"
"Place de l'Église","21 rue de Lesquen",48.4433415962599,-1.10586745516611,"La Bazouge-Du-Désert","Aire de covoiturage"
"Centre maison neuve","Rue Saint-Martin",48.1851967525338,-1.4394966671136,"La Bouëxière","Aire de covoiturage"
"Centre maison neuve","Rue Saint-Martin",48.1851967525338,-1.4394966671136,"La Bouëxière","Aire de covoiturage"
"La Grenouillette","La Grenouillette",48.1355245063558,-1.0916371179694,"La Chapelle Erbrée","Aire de covoiturage"
"Siège CC Bretagne Romantique","Rue des Etangs",48.3828209506634,-1.82882020296592,"La Chapelle-Aux-Filtzmeens","Aire de covoiturage"
"Parking salle de sport","Rue de Rennes",48.1750609241553,-1.72646737711183,"La Chapelle-Des-Fougeretz","Aire de covoiturage"
"La Fossardais","La Fossardais",47.7818412442339,-1.69851723527387,"La Dominelais","Aire de covoiturage"
"Aire de covoiturage Croaz An Herry","D764. 29690 La Feuillée",48.38169577,-3.845220409,"La Feuillee","Aire de covoiturage"
"Rue des Frênes","Rue des Frênes",48.5884280171626,-1.8449654827428,"La Fresnaie","Aire de covoiturage"
"Les Grands Champs","Les Grands Champs",47.9456116631715,-1.25017072657155,"La Guerche-De-Bretagne","Aire de covoiturage"
"Aire de covoiturage Bel Air","échangeur de Bel Air RD 700-",48.22553374,-2.755123526,"La Motte","Aire de covoiturage"
"Aire de covoiturage de La Roche-Jaudy","Rue des Ajoncs",48.743626,-3.250262,"La Roche-Jaudy","Aire de covoiturage"
"Parking Rue du Pont Sec","Rue du pont sec (D17)",48.43729443,-1.341634042,La-Selle-En-Coglès,Parking
"Aire de covoiturage de Porhoet","12 Rue du Point du Jour. 56490 La Trinité-Porhoét",48.096889,-2.535549,"La Trinite Porhoet","Aire de covoiturage"
"Aire de covoiturage de Croix","32 Rue de la Gare. 56250 La truee-Croix",47.69582,-2.540475,"La Truee-Croix","Aire de covoiturage"
"La Massonnais","Rond point D706 et D806",48.3681294366625,-1.17051590990296,Laignelet,"Aire de covoiturage"
"La lande de villiers","Bout de lande",47.97416793792,-1.69692557108055,Laillé,"Aire de covoiturage"
"Rue de la halte/Landret","Rue de la Halte",47.9800647551924,-1.73242788473385,Laillé,"Aire de covoiturage"
"Aire de covoiturage La Ville Es Lan","échangeur de la Ville Es Lan RN12-RD768",48.46780324,-2.54833357,Lamballe,"Aire de covoiturage"
"Aire de covoiturage de Le Poulvern","La Gare. 56690 Landaul",47.733121,-3.090235,Landaul,"Aire de covoiturage"
"Parking Passille","Rue Michel et Jean Passille",48.41211567,-1.153623,Landean,Parking
"Aire de covoiturage Jean Monnet","ZA de Prat Pip. 175 rue Jean Monnet. 29800 Saint-Divy",48.44449453,-4.269187605,Landerneau,"Aire de covoiturage"
"Aire de covoiturage de Mané Craping","Prad er Houerh. 56690 LanDévant",47.759757,-3.139936,Landevant,"Aire de covoiturage"
"Aire de covoiturage Les Quatre Chemins","Les Quatre Chemins. 29560 LanDévennec",48.26220635,-4.333813993,Landevennec,"Aire de covoiturage"
"Aire de covoiturage Kerivoal","Zone de Kerioual. D69. 29400 Landivisiau",48.51538192,-4.051675766,Landivisiau,"Aire de covoiturage"
"Aire de covoiturage de Géant","118 Rue Andrei Sakharov. 56600 Lanester",47.777579,-3.343389,Lanester,"Aire de covoiturage"
"La Guiguenière","Entree Sud accès par D27",48.2480027822452,-1.82256251638921,Langouet,"Aire de covoiturage"
"Parking La Guigueniére","La Guigueniére",48.24783043,-1.822396848,Langouet,Parking
"Aire de covoiturage Le Boutil","Giratoire du Boutil RD 767 - RD 786",48.72429683,-3.430629822,Lannion,"Aire de covoiturage"
"Aire de covoiturage Pont Lé","Giratoire RD 6 - RD 9",48.63465909,-2.976688639,Lanvollon,"Aire de covoiturage"
"Les Landes de Canut","Les Landes de Canut",47.968165700495,-1.86796315620161,Lassy,"Aire de covoiturage"
"Aire de covoiturage Quiella","Route de Rumengol. 29590 Le Faou",48.29862009,-4.167873871,"Le Faou","Aire de covoiturage"
"Place de La Mairie","Rue de Bretagne",48.49159599,-1.293845397,"Le Ferre",Parking
