name;address;town;insee_code;postal_code;type;longitude;latitude
Aire de covoiturage de Le Penrho;Morigo. 56250 Treffléan;ELVEN;56053;56250;Aire de covoiturage;-2.5755;47.691595
La Lande;Echangeur D111 - N157;ERBRÉE;35105;35500;Aire de covoiturage;-1.10814497866262;48.0893385491454
Salle de sport;Rue de la croix de l'écu;ERCÉ-PRÈS-LIFFRÉ;35107;35340;Aire de covoiturage;-1.51183166727924;48.2524607506157
Salle de sport;Rue de la croix de l'écu;ERCÉ-PRÈS-LIFFRÉ;35107;35340;Aire de covoiturage;-1.51183166727924;48.2524607506157
Piquet;Piquet;ÉTRELLES;35109;35370;Aire de covoiturage;-1.19945799515191;48.0728344155929
Cimetiere;1 Bellevue;GOSNÉ;35121;35140;Aire de covoiturage;48.244639;48.244639
Aire de covoiturage Le Carpont;5 Rue de Kerdidrun. 29850 Gouesnou;GOUESNOU;29061;29850;Aire de covoiturage;-4.461762586;48.44688675
Place du Général de Gaulle;10 Impasse Bob Gestin. 56110 Gourin;GOURIN;56066;56110;Parking;-3.599405;48.142491
Aire de covoiturage de Kerbos;678 Fretezach. 56110 Gourin;GOURIN;56066;56110;Aire de covoiturage;-3.629214;48.141134
La Corbière;35123;GOVEN;35123;35123;Aire de covoiturage;-1.78222536809566;48.0239960930731
Parking La Corbiére;La Corbiére;GOVEN;35123;35580;Parking;-1.782343333;48.02398167
Les Terres;Les Terres;GOVEN;35123;35580;Aire de covoiturage;-1.8129657980926;47.9906394754271
La Lizardais;PA La Lizardais;GRAND-FOUGERAY;35124;35390;Aire de covoiturage;-1.73339499898347;47.7190667511303
Les 4 routes;ZA Les 4 routes;GRAND-FOUGERAY;35124;35390;Aire de covoiturage;-1.71728666558017;47.7445044169381
Aire de covoiturage de Val Coric;331 La Bonde. 56380 Guer;GUER;56075;56380;Aire de covoiturage;-2.12752;47.929709
La Courtinais;La Courtinais;GUICHEN;35126;35580;Aire de covoiturage;-1.81483653236647;47.9741404809188
Giratoire de la Taupinais;La Taupinais D38;GUICHEN;35126;35580;Aire de covoiturage;-1.82984274075324;47.9845656875714
Les Landes;Les Landes;GUICHEN;35126;35580;Aire de covoiturage;-1.81115838112248;47.9593295529337
Cimetière;Rue de Redon;GUICHEN;35126;35580;Aire de covoiturage;-1.77613135348884;47.9971983437279
Aire de covoiturage Kermat;Route de Kermat. 29410 Guiclan;GUICLAN;29068;29410;Aire de covoiturage;-3.989414044;48.52088518
Aire de covoiturage de L'Estran;9 Place de l'Arbre d'Or. 56520 Guidel;GUIDEL;56078;56520;Aire de covoiturage;-3.487474;47.799319
Aire de covoiturage de Pen Mané;Zone Artisanale de Pen Mané. 56520 Guidel;GUIDEL;56078;56520;Aire de covoiturage;-3.460196;47.80617
La Courtinière;;GUIGNEN;35127;35580;Aire de covoiturage;-1.85380369245236;47.9211544572429
Aire de covoiturage Ty Colo;29820. D67. Guilers;GUILERS;29069;29820;Aire de covoiturage;-4.598634806;48.4284774
Aire de covoiturage de La Belle Allouette;D123. 56800 Guillac;GUILLAC;56079;56800;Aire de covoiturage;-2.499134;47.93754
Aire de covoiturage de La Pyramide;N24. 56800 Guillac;GUILLAC;56079;56800;Aire de covoiturage;-2.483644;47.935731
Aire de covoiturage Guimiliau centre;11 rue du Calvaire. 29400 Guimiliau;GUIMILIAU;29074;29400;Aire de covoiturage;-4.000509;48.487612
Aire de covoiturage Froutven;105 Rue Pierre Jakez Helias. 29490 Guipavas;GUIPAVAS;29075;29490;Aire de covoiturage;-4.43966825;48.4172813
Aire de covoiturage Penn Ar Forest;penn ar forest;GUIPAVAS;29075;29490;Aire de covoiturage;-4.363309449;48.4567755
La Plousière;La Plousière;GUIPEL;35128;35440;Aire de covoiturage;-1.7183898452883;48.3109359596511
Rue de Rennes;Rue de Rennes;GUIPEL;35128;35440;Aire de covoiturage;-1.72057523779305;48.2943843610028
Z.I Courbouton;Z.I Coubouton;GUIPRY-MESSAC;35176;35480;Aire de covoiturage;-1.90697156369629;47.8361577552141
Aire de covoiturage Botcabeur;Route de Botcabeur. 29460 Hanvec;HANVEC;29078;29460;Aire de covoiturage;-4.155742952;48.33213615
Aire de covoiturage Pont de La Corde;14 Rue Jacques Guéguen. 29670 Henvic;HENVIC;29079;29670;Aire de covoiturage;-3.947920847;48.64531888
Aire de covoiturage Saint René;échangeur de Saint René RD 786 - RN 12;HILLION;22081;22120;Aire de covoiturage;-2.645109417;48.48046202
Cimetière;D155;HIREL;35132;35120;Aire de covoiturage;-1.79802972162714;48.6064472879447
Aire de covoiturage Menez Bras;D14. 29690 Plouyé;HUELGOAT;29081;29690;Aire de covoiturage;-3.750106041;48.34839447
Les 4 routes;Les 4 routes;IFFENDIC;35133;35750;Aire de covoiturage;-1.99768638870184;48.091902811892
Rue du lavoir;Rue du lavoir;IRODOUËR;35135;35850;Aire de covoiturage;-1.9509383336427;48.2499584972596
Aire de covoiturage Janzé Nord;Le Hardier;JANZÉ;35136;35150;Aire de covoiturage;-1.537484;47.971483
Le Hardier;ZA le bois du teillay;JANZÉ;35136;35150;Aire de covoiturage;-1.53536158800324;47.9715840022118
L'Aubinière Janzé Nord;Rue Jean-Marie Lacire;JANZÉ;35136;35150;Aire de covoiturage;-1.48840769717552;47.967827819154
Champs-Blancs Janzé Est;sortie D41 Rd point D777;JANZÉ;35136;35150;Aire de covoiturage;-1.48775895020323;47.9507647822987
Rue de L'écusson;17 Rue des Saulniers. 56120 Josselin;JOSSELIN;56091;56120;Aire de covoiturage;-2.553786;47.958677
Aire de covoiturage Saint-Igneuc;RD 66 - RN 176 (Delaisse RD16;JUGON-LES-LACS;22084;22270;Aire de covoiturage;-2.345367377;48.40983213
Aire de covoiturage Le Val Joli;RD 792 proche RN 176;JUGON-LES-LACS;22084;22270;Aire de covoiturage;-2.315409162;48.41524825
Aire de covoiturage Loch Ar Lann;D764. 29270 Kergloff;KERGLOFF;29089;29270;Aire de covoiturage;-3.612962056;48.2874739
Aire de covoiturage de Ty Richard;11 Kerfort. 56540 Kernascléden;KERNASCLEDEN;56264;56540;Aire de covoiturage;-3.340713;48.007182
Aire de covoiturage de Kergo-Kernous;Kernours. 56700 Kervignac;KERVIGNAC;56094;56700;Aire de covoiturage;-3.286759;47.759906
Aire de covoiturage de Le Porzo;Rohabon. 56700 Kervignac;KERVIGNAC;56094;56700;Aire de covoiturage;-3.238014;47.79493
