name,postal_code,insee_code,latitude,longitude
PlancoËt,22130,22172,48.52557987,-2.228547235
Plaudren,56420,56157,47.778011,-2.685105
Pledran,22960,22176,48.46110837,-2.781909681
PlÉlan-le-grand,35380,35223,48.006613918179795,-2.089015602683655
PlÉnÉe-jugon,22640,22185,48.37505553,-2.359683391
PlÉrin,22190,22187,48.54361598,-2.769916279
Pleslin-trigavou,22490,22190,48.5219328338633,-2.04078443071613
Pleugueneuc,35720,35226,48.406461084601,-1.90637866673174
Pleumeleuc,35137,35227,48.174925033869,-1.92140337176171
Pleuven,29170,29161,47.90150893,-4.027307333
Ploemel,56400,56161,47.652358,-3.071279
Ploeren,56880,56164,47.658692,-2.860431
PloËrmel,56800,56165,47.919775,-2.383223
Plogastel-saint-germain,29710,29167,47.99869516,-4.271148516
Plouagat,22170,22206,48.52936003,-2.968602739
Plouasne,22830,22208,48.2997451409182,-2.00705544325251
Plouay,56240,56166,47.909585,-3.332793
Ploubezre,22300,22211,48.663834,-3.444913
Ploudaniel,29260,29179,48.48290276,-4.289608112
PlouÉgat-moysan,29650,29183,48.56735534,-3.605819376
Plouer-sur-rance,22490,22213,48.5359886238677,-2.01332826218556
Plougonvelin,29217,29190,48.34391896,-4.720745248
Plougoumelen,56400,56167,47.668401,-2.897153
Plouguernevel,22110,22220,48.23661464,-3.297438299
Plouguin,29830,29196,48.52494474,-4.602263502
Plouhinec,29780,29197,48.01363072,-4.484518331
Plouhinec,56680,56169,47.706464,-3.220152
Plouigneau,29610,29199,48.57640458,-3.715960142
Plouisy,22200,22223,48.56583954,-3.20665538
Ploumagoar,22200,22225,48.54897762,-3.149353026
Ploumilliau,22300,22226,48.700356,-3.522964
PlounÉvez-moËdec,22810,22228,48.56252705,-3.498991816
PlounÉvÉzel,22340,29205,48.29889905,-3.546483865
PlouzÉvÉdÉ,29440,29213,48.605705,-4.11275
Pluguffan,29700,29216,47.9547808,-4.168375413
Pluneret,56400,56176,47.697269,-2.897984
PocÉ-les-bois,35500,35229,48.0959211355256,-1.22735794174372
Poilley,35420,35230,48.46570067,-1.263926777
Poligne,35320,35231,47.8890792131391,-1.68709046317441
Pont-scorff,56620,56179,47.83366,-3.41245
Pontivy,56300,56178,48.069514,-2.945259
Pordic,22590,22251,48.56116737,-2.81084774
"Port Louis",56290,56181,47.70917,-3.3413
Pouldergat,29100,29224,48.03872684,-4.32923363
QuÉdillac,35290,35234,48.2508596049886,-2.14361754196861
Questembert,56230,56184,47.684666,-2.449324
QuÉven,56530,56185,47.778951,-3.425165
QuÉvert,22100,22259,48.4467500411557,-2.0924504890629
Quimper,29000,29232,48.03075507,-4.08346776
QuimperlÉ,29300,29233,47.86830712,-3.584241427
RannÉe,35130,35235,47.9230106721949,-1.25275514259802
RÉdenÉ,29300,29234,47.85058747,-3.465483954
Redon,35600,35236,47.663149718757,-2.09981583277041
Rennes,35000,35238,48.1542888495786,-1.62572337303651
Retiers,35240,35239,47.8936483567868,-1.36999509703985
Riec-sur-bÉlon,29340,29236,47.8865826,-3.70053248
Rieux,56350,56194,47.6124810100911,-2.14849843469723
Rives-du-couesnon,35140,35293,48.3020184081824,-1.35766633208634
Rohan,56580,56198,48.067572,-2.753222
RomagnÉ,35133,35243,48.3422443323359,-1.2901130011969
Saint-coulomb,35350,35263,48.6749929804221,-1.91419937973604
Saint-jean-sur-vilaine,35220,35283,48.1164137319531,-1.36462170693727
Saint-jouan-de-l'isle,22350,22305,48.2674432323746,-2.15696398349496
Saint-abraham,56460,56202,47.853371,-2.421713
Saint-andre-des-eaux,22630,22274,48.3720837990995,-2.00753540694381
Saint-armel,56450,56205,47.565596,-2.714008
"Saint-aubin Des Landes",35500,35252,48.1087032099211,-1.32097331590942
Saint-aubin-d'aubignÉ,35250,35251,48.2577998825314,-1.60556798366633
Saint-aubin-du-cormier,35140,35253,48.2590837504216,-1.41356166719094
Saint-christophe-des-bois,35210,35260,48.2278251933977,-1.24501513672047
Saint-domineuc,35190,35265,48.3652217538339,-1.87419933248589
Sainte-anne-d'auray,56400,56263,47.703913,-2.955411
Sainte-marie,35600,35294,47.6984567237394,-2.02116022305832
Sainte-sÉve,29600,29265,48.5522446,-3.879252377
Saint-Étienne-en-coglÈs,35460,35267,48.3997816,-1.312430289
Saint-georges-de-grehaigne,35610,35270,48.5643820090891,-1.53660990624367
Saint-georges-de-reintembault,35420,35271,48.5091785216463,-1.24341595995281
Saint-gilles,35590,35275,48.1527835022983,-1.80870133400004
Saint-grÉgoire,35760,35278,48.1573243086521,-1.68842967730149
Saint-jean-la-poterie,56350,56223,47.637373,-2.134009
Saint-jean-la-poterie,56370,56214,47.512268,-2.804453
Saint-juvat,22630,22308,48.3524636276836,-2.04532412561966
Saint-malo,35400,35288,48.6460093875093,-2.00610140539623
Saint-meen-le-grand,35290,35297,48.1890467495114,-2.17094666742155
Saint-nicolas-du-pÉlem,22480,22321,48.30708847,-3.162659448
Saint-nolff,56250,56231,47.695577,-2.633671
Saint-pabu,29830,29257,48.56719854,-4.611350472
Saint-pÉran,35380,35305,48.052762758114,-2.05848088232042
Saint-pÈre,35430,35306,48.5653427535629,-1.92342833858651
Saint-pierre-quiberon,56510,56234,47.513983,-3.134753
Saint-sÉgal,29590,29263,48.2249265,-4.076218395
Saint-symphorien,35630,35317,48.2861508992112,-1.80159382527405
"Saint-thÉgonnec Loc-eguiner",29410,29266,48.52725679,-3.940298016
Saint-thurial,35310,35319,48.0453020051789,-1.9279816304331
Saint-urbain,29800,29270,48.39985286,-4.228609424
Saint-vincent-sur-oust,56350,56239,47.699631,-2.147792
Sarzeau,56370,56240,47.546912,-2.720736
"Sens De Bretagne",35490,35326,48.33123115,-1.527401756
Serent,56460,56244,47.819795,-2.435421
Servon-sur-vilaine,35530,35327,48.1117743941165,-1.4654497106746
Sizun,29450,29277,48.39989711,-4.079011517
Taden,22100,22339,48.4812809675591,-2.04222717172548
Teillay,35620,35332,47.806637088671,-1.53937933250262
Theix-noyalo,56450,56251,47.613627,-2.614355
ThorignÉ-fouillard,35235,35334,48.1407829144053,-1.57978266609838
Thourie,35134,35335,47.8534317542724,-1.47938466661554
TintÉniac,35190,35337,48.3246904140841,-1.85252366550939
TorcÉ,35370,35338,48.0741724162472,-1.27117300600675
Tramain,22640,22341,48.3923125,-2.395596168
TrÉbeurden,22560,22343,48.767037,-3.551272
Treffendel,35380,35340,48.0292110578874,-2.0132269000696
Treffumel,22630,22352,48.3379180532882,-2.02521404230652
TrÉgueux,22950,22360,48.47715316,-2.750257156
TrÉmÉreuc,22490,22368,48.5663382436583,-2.05988842858108
TrÉmuson,22170,22372,48.53073919,-2.859697266
Trimer,35190,35346,48.3407432108368,-1.89299452427182
Uzel,22460,22384,48.28744844,-2.826654417
Vannes,56000,56260,47.670669,-2.789974
VergÉal,35680,35350,48.0362102583358,-1.26399729323663
Vern-sur-seiche,35770,35352,48.044337937779,-1.60558191626882
Vignoc,35630,35356,48.2509743532731,-1.77293423227139
VildÉ-guingalan,22100,22388,48.43858255,-2.144430388
VillamÉe,35420,35357,48.4605459039419,-1.22080977457693
VitrÉ,35500,35360,48.1094985026484,-1.21606233176827
